datetime,activity
2022/9/22 22:10,bathroom
2022/9/22 22:20,sitting
2022/9/24 12:37,walking
2022/9/24 12:39,driving
2022/9/24 13:07,walking
2022/9/24 13:08,sitting
2022/9/24 13:17,eating
2022/9/24 13:37,sitting
2022/9/24 13:40,driving
2022/9/24 14:08,walking
2022/9/24 14:10,bathroom
2022/9/24 14:24,walking
2022/9/24 14:25,sitting
2022/9/24 15:57,using_computer
2022/9/24 16:28,walking
2022/9/24 16:32,driving
2022/9/24 16:49,sitting
2022/9/24 19:19,eating
2022/9/24 19:58,sitting
2022/9/25 13:19,sitting
2022/9/25 13:22,walking
2022/9/25 13:25,other
2022/9/25 13:30,walking
2022/9/25 13:33,sitting
2022/9/25 14:01,eating
2022/9/25 15:00,walking
2022/9/25 15:02,other
2022/9/25 15:07,walking
2022/9/25 15:10,bathroom
2022/9/25 15:17,using_computer
2022/9/25 15:30,walking
2022/9/25 15:33,other
2022/9/25 15:44,walking
2022/9/25 15:45,sitting
2022/9/25 16:01,other
2022/9/25 16:31,walking
2022/9/25 16:35,sitting
2022/9/25 18:15,eating
2022/9/25 18:28,sitting
2022/9/25 19:10,walking
2022/9/25 19:35,other
2022/9/25 20:00,walking
2022/9/25 20:02,sitting
2022/9/25 20:16,other
2022/9/25 20:28,walking
2022/9/25 20:58,using_computer
2022/9/26 09:19,walking
2022/9/26 09:24,other
2022/9/26 09:59,walking
2022/9/26 10:03,sitting
2022/9/26 11:55,walking
2022/9/26 11:57,driving
2022/9/26 12:49,walking
2022/9/26 12:52,eating
2022/9/26 13:12,bathroom
2022/9/26 13:19,walking
2022/9/26 13:20,sitting
2022/9/26 14:08,lying
2022/9/26 17:31,walking
2022/9/26 17:34,driving
2022/9/26 17:46,sitting
2022/9/26 17:55,eating
2022/9/26 18:05,sitting
2022/9/26 19:18,driving
2022/9/26 19:29,walking
2022/9/26 19:32,sitting
2022/9/26 21:00,bathroom
2022/9/26 21:09,walking
2022/9/26 21:30,lying
2022/9/26 22:12,sitting
2022/9/26 22:16,eating
2022/9/26 22:40,walking
2022/9/26 23:00,lying
2022/9/26 23:23,using_computer
2022/9/27 13:17,using_computer
2022/9/27 14:54,sitting
2022/9/27 14:56,lying
2022/9/27 16:47,walking
2022/9/27 17:19,sitting
2022/9/27 18:40,bathroom
2022/9/27 18:41,sitting
2022/9/27 19:00,eating
2022/9/27 19:41,sitting
2022/9/27 19:53,bathroom
2022/9/27 20:10,lying
2022/9/28 07:25,walking
2022/9/28 07:44,standing
2022/9/28 07:50,walking
2022/9/28 07:56,sitting
2022/9/28 07:57,eating
2022/9/28 08:19,sitting
2022/9/28 09:54,bathroom
2022/9/28 10:04,sitting
2022/9/28 11:42,lying
2022/9/28 14:11,bathroom
2022/9/28 14:16,lying
2022/9/28 15:52,using_computer
2022/9/28 16:32,eating
2022/9/28 18:06,sitting
2022/9/28 18:18,bathroom
2022/9/28 18:20,using_computer
2022/9/28 21:43,walking
2022/9/28 21:46,riding
2022/9/28 21:50,walking
2022/9/28 22:04,riding
2022/9/28 22:08,walking
2022/9/28 22:27,using_computer
2022/9/29 14:35,walking
2022/9/29 14:47,sitting
2022/9/29 14:53,walking
2022/9/29 14:57,standing
2022/9/29 15:04,walking
2022/9/29 15:07,sitting
2022/9/29 15:10,eating
